cell,condition,category,batch,T,duration_min,n_valid_frames,n_valid_pairs,mean_speed_um_per_min_all,max_speed_um_per_min_all,std_speed_all,total_path_um_all,net_disp_um_all,persistence_all,mean_speed_um_per_min_valid,max_speed_um_per_min_valid,std_speed_valid,total_path_um_valid,net_disp_um_valid,persistence_valid
ki1/12,ki,1,low,180,179.0,180,179,0.8496029904672383,4.735924887983348,0.6724424070252494,152.07893529363565,29.438331556081362,0.19357270945671412,0.8496029904672383,4.735924887983348,0.6724424070252494,152.07893529363565,29.438331556081362,0.19357270945671412
ki1/23,ki,1,low,180,179.0,180,179,1.110173805967224,14.436253858325966,1.5309160575690852,198.7211112681331,78.8407073529524,0.39674047135622725,1.110173805967224,14.436253858325966,1.5309160575690852,198.7211112681331,78.8407073529524,0.39674047135622725
ki1/25,ki,1,low,180,179.0,180,179,1.073071415766748,5.232018547488333,0.852233355387884,192.0797834222479,30.510159486098267,0.1588410760492579,1.073071415766748,5.232018547488333,0.852233355387884,192.0797834222479,30.510159486098267,0.1588410760492579
ki1/3,ki,1,low,180,179.0,180,179,0.7727009402613088,3.4168889079673095,0.4530252555961776,138.3134683067743,83.10844005778785,0.6008701905548078,0.7727009402613088,3.4168889079673095,0.4530252555961776,138.3134683067743,83.10844005778785,0.6008701905548078
ki1/7,ki,1,low,180,179.0,180,179,0.5983954393523443,2.549273074373933,0.3643757463151612,107.11278364406964,17.261549080100874,0.16115302481037305,0.5983954393523443,2.549273074373933,0.3643757463151612,107.11278364406964,17.261549080100874,0.16115302481037305
ki2/10,ki,2,high,360,359.0,360,359,0.8202944643652947,3.1954407992918217,0.5640105047395719,294.4857127071408,95.27765839646352,0.3235391541429887,0.8202944643652947,3.1954407992918217,0.5640105047395719,294.4857127071408,95.27765839646352,0.3235391541429887
ki2/19,ki,2,high,147,146.0,145,142,0.8596560999702236,6.598918168668528,1.002629609399573,125.50979059565262,23.054383230565456,0.1836859349470065,0.8397645872466822,6.598918168668528,0.9629526168975596,119.24657138902889,23.054383230565456,0.19333371988828973
ki2/24,ki,2,high,360,359.0,358,355,1.454783928872191,21.137158766876578,2.1832031266183063,522.2674304651165,67.46047510040275,0.12916845119046458,1.4647246614349216,21.137158766876578,2.192579970213978,519.9772548093973,67.46047510040275,0.12973735769486885
ki2/34,ki,2,high,360,359.0,360,359,0.7319946543874969,3.6946993547967595,0.5685423990577427,262.7860809251114,40.80309766864924,0.15527115258542662,0.7319946543874969,3.6946993547967595,0.5685423990577427,262.7860809251114,40.80309766864924,0.15527115258542662
ki2/4,ki,2,high,240,239.0,227,217,3.628555780245321,29.40894055076799,5.25912835681885,867.2248314786318,31.795964214504863,0.0366640380445429,3.6134156232090353,23.092113782611353,4.960441144662114,784.1111902363607,31.795964214504863,0.04055032578341391
ko1/16,ko,1,low,180,179.0,165,151,1.1834438292032503,4.7067917684615015,0.9161784949848076,211.83644542738182,102.82791471052047,0.48541182091242274,1.2394250759860093,4.7067917684615015,0.8750283650758408,187.1531864738874,102.82791471052047,0.5494318138412652
ko1/22,ko,1,low,180,179.0,180,179,1.9703440721428926,20.019013194268236,2.3185077827227296,352.69158891357773,67.15468806871787,0.19040626479236286,1.9703440721428926,20.019013194268236,2.3185077827227296,352.69158891357773,67.15468806871787,0.19040626479236286
ko1/26,ko,1,low,90,89.0,89,87,1.02281148974282,3.7956496087080165,0.6469668940880167,91.030222587111,39.69323547306113,0.4360445832709774,1.0309107965354616,3.7956496087080165,0.6441541249492848,89.68923929858515,39.69323547306113,0.44256407773643913
ko1/4,ko,1,low,60,59.0,3,0,0.6641763964308632,19.83078398454634,3.0729798478345973,39.18640738942092,5.535028247852861,0.14124867821761947,0.0,0.0,0.0,0.0,0.0,0.0
ko1/8,ko,1,low,120,119.0,60,33,3.0987921362939836,29.026417066628827,7.171556108069116,368.756264218984,13.927008684364589,0.03776751756030945,3.4114211179658307,25.869087639408143,6.706855572477179,112.57689689287244,30.318134822489636,0.26931045053888997
ko2/ko1,ko,2,high,195,194.0,195,194,1.2005653018523357,4.814239477207156,0.8715362223207493,232.90966855935315,29.08875611811334,0.1248928663976891,1.2005653018523357,4.814239477207156,0.8715362223207493,232.90966855935315,29.08875611811334,0.1248928663976891
ko2/ko11,ko,2,high,159,158.0,159,158,1.7578324126427207,6.257643344671307,1.3372088517410297,277.7375211975499,138.54181356670463,0.49882282008329093,1.7578324126427207,6.257643344671307,1.3372088517410297,277.7375211975499,138.54181356670463,0.49882282008329093
ko2/ko27,ko,2,high,360,359.0,358,355,1.3683058782619846,4.781060753235231,1.0014670413084084,491.2218102960524,69.54130362798013,0.14156802929020715,1.3724690898846719,4.781060753235231,1.0001411216472893,487.22652690905846,69.54130362798013,0.1427288946460834
ko2/ko30,ko,2,high,360,359.0,360,359,0.9732603886012434,4.999564151564324,0.7644317869314132,349.4004795078464,24.759650544487357,0.07086324145680326,0.9732603886012434,4.999564151564324,0.7644317869314132,349.4004795078464,24.759650544487357,0.07086324145680326
ko2/ko5,ko,2,high,360,359.0,360,359,1.1027348662726455,5.296011272774372,0.8444292512493211,395.88181699187976,173.72030952387388,0.4388186121906104,1.1027348662726455,5.296011272774372,0.8444292512493211,395.88181699187976,173.72030952387388,0.4388186121906104
wt1/12,wt,1,low,180,179.0,167,159,3.4635632843115105,18.30034528959292,4.592655941230734,619.9778278917603,82.38194798794575,0.13287886160072246,3.4890423521279565,16.83546506445589,4.405943148630356,554.7577339883451,82.38194798794575,0.1485007651820795
wt1/26,wt,1,low,180,179.0,180,179,1.6129076745743687,5.262805947774767,1.2456687295148046,288.710473748812,59.00253779451846,0.20436576833666484,1.6129076745743687,5.262805947774767,1.2456687295148046,288.710473748812,59.00253779451846,0.20436576833666484
wt1/33,wt,1,low,81,80.0,73,65,5.750298660923046,33.66420877132575,8.219809955070977,460.0238928738438,27.35179723636121,0.05945734049918604,5.547178327020316,25.111946251980182,7.489966359693601,360.5665912563205,51.46063356852513,0.14272157991460352
wt1/37,wt,1,low,80,79.0,79,77,1.545190728432176,5.915111966348651,1.209789322587384,122.0700675461419,37.936256246182495,0.31077443478797756,1.5441187793862279,5.915111966348651,1.1984102876946403,118.89714601273954,37.936256246182495,0.31906784576744773
wt1/4,wt,1,low,180,179.0,180,179,1.4816944125095302,4.57074477001631,1.0652679880706442,265.2232998392059,54.914408984344604,0.20704971628675528,1.4816944125095302,4.57074477001631,1.0652679880706442,265.2232998392059,54.914408984344604,0.20704971628675528
