cell,condition,category,batch,T,n_valid_frames,n_valid_pairs,mean_speed_um_per_min,median_speed_um_per_min,max_speed_um_per_min,std_speed,total_path_um,net_disp_um,persistence
ki1/12,ki,1,low,180,180,179,0.7697520989019113,0.6950252305399042,2.2213084162141854,0.4173070506174714,137.78562570344215,30.134104555203372,0.218702817520758
ki1/23,ki,1,low,180,180,179,1.0346685488273464,0.8814086037175834,4.414001236147339,0.7411216915913574,185.205670240095,76.62894980494104,0.4137505601507859
ki1/25,ki,1,low,180,180,179,0.9497229677630897,0.8615051689767296,3.183623575559029,0.5012523464993632,170.00041122959306,29.93153872123944,0.17606744892408277
ki1/3,ki,1,low,180,180,179,0.8051394626582962,0.7435770702192108,2.2964370027913756,0.44995377454109836,144.11996381583498,83.45823141602017,0.5790886231602725
ki1/7,ki,1,low,180,180,179,0.6630305011384344,0.6087131652080678,2.210649387801255,0.3760746851531537,118.68245970377973,16.316651669967424,0.1374815765589309
ki2/10,ki,2,high,360,360,359,0.6300782784636232,0.5734861283167008,1.9079447206117008,0.3647046592494282,226.19810196844068,95.48301207482942,0.42212119042515783
ki2/19,ki,2,high,147,147,146,0.6839521344122272,0.6473060297479587,2.0664526745523633,0.3588495121534202,99.85701162418518,22.96593106046076,0.2299881669490944
ki2/24,ki,2,high,360,360,359,0.9518574934873874,0.786847145791041,4.431633741799667,0.6814344815465331,341.71684016197213,70.1259201657745,0.20521645972301264
ki2/34,ki,2,high,360,360,359,0.8204043407909606,0.7326576016664486,2.7688674941047537,0.47366655594710305,294.52515834395484,41.66237020646826,0.14145606589510348
ki2/4,ki,2,high,240,240,239,0.6117980952143358,0.5645491673481849,2.752656984449282,0.37712836335513417,146.21974475622622,28.88289664722874,0.1975307554761606
ko1/16,ko,1,low,180,122,92,1.5176814412906083,1.3615863701633382,4.451085154913076,0.9675092596187563,139.62669259873596,103.68781112095655,0.7426073710629112
ko1/22,ko,1,low,180,180,179,1.3239010159014104,1.0517708728835946,5.205016000037017,0.9801725803053221,236.97828184635242,70.51577548489321,0.2975621855956105
ko1/26,ko,1,low,90,90,89,1.0306929336162605,0.9926555159688456,3.0827408310031417,0.5726121310318958,91.73167109184719,40.04248925293873,0.4365176037493726
ko1/4,ko,1,low,60,4,1,4.290981895229566,4.290981895229566,4.290981895229566,0.0,4.290981895229566,29.39004072118913,1.0
ko1/8,ko,1,low,120,120,119,1.0192565876481094,0.9036418262452691,3.1878892624064887,0.6466658811667497,121.29153393012503,32.815921858855134,0.27055410048454076
ko2/ko1,ko,2,high,195,195,194,0.7166154715048343,0.6896055038406679,2.194741277424069,0.3974596655021068,139.02340147193786,28.100858651109263,0.20213042087580826
ko2/ko11,ko,2,high,159,159,158,1.3520390261632653,1.120431767275114,3.614963418255394,0.8713217916889275,213.62216613379587,139.63240542330956,0.6536419321572414
ko2/ko27,ko,2,high,360,360,359,0.7752947857482221,0.7489696757073803,2.580861051445018,0.40474690334103386,278.3308280836117,72.76022581252013,0.26141633793674723
ko2/ko30,ko,2,high,360,360,359,0.8133885838783524,0.7777404367411067,2.3063895255831275,0.42270759798234997,292.0065016123285,24.3207112991225,0.08328825270956118
ko2/ko5,ko,2,high,360,360,359,0.7429073198654983,0.7214016614019467,2.1032785922548314,0.3610521827576727,266.7037278317139,171.78177460682812,0.6440921392565607
wt1/12,wt,1,low,180,164,152,2.094656324149046,1.6181146961937793,7.99561960590823,1.6057955748728765,318.38776127065506,91.97213369730908,0.288868307406846
wt1/26,wt,1,low,180,180,179,0.7896252185789324,0.6934708063780705,2.95670957617382,0.48995240573996957,141.34291412562888,54.119426084377984,0.38289451168578126
wt1/33,wt,1,low,81,79,76,1.677389417107017,1.6053313266192275,4.361742157733479,0.9239887027814611,127.4815957001333,56.98348757795465,0.44699383675737175
wt1/37,wt,1,low,80,80,79,0.9766057813959272,0.8671212695009224,3.421694294097016,0.6065380619513441,77.15185673027823,38.2122928879985,0.49528675663099236
wt1/4,wt,1,low,180,180,179,0.9921929310020473,0.8531979929181268,2.999639452785094,0.6050978637032081,177.60253464936645,56.593428787041105,0.31865214592106605
wt2/wt10,wt,2,high,360,360,359,0.8411449012072121,0.6868353438877846,6.572830915089189,0.7842262441883953,301.9710195333892,27.97872648321955,0.0926536808944539
wt2/wt14,wt,2,high,345,345,344,0.9404599931864801,0.8416590299069031,2.95541776580011,0.5250171562991621,323.51823765614915,24.118306864721216,0.07455006876723692
wt2/wt18,wt,2,high,77,77,76,0.6710120794356983,0.5630318371458359,1.5461465050622925,0.36625506931956,50.99691803711306,23.2842312534583,0.4565811454824226
wt2/wt23,wt,2,high,240,240,239,0.6745685963918219,0.6094136361102517,2.3255805753965504,0.36911705846731635,161.2218945376454,49.72133445203912,0.3084031148165745
wt2/wt4,wt,2,high,67,67,66,0.7358159755812488,0.6653828964821624,2.0665441185690083,0.407022488935015,48.56385438836242,17.266024675983477,0.3555324200156776
