cell,condition,category,batch,T,n_valid_frames,mean_lam_I,mean_cyto_I,mean_lam_to_cyto_I_ratio,std_lam_to_cyto_I_ratio
ki1/14,ki,1,low,180,180,503.1698238796658,249.22088843451607,2.042715458675761,0.2337584532900693
ki1/16,ki,1,low,180,180,217.56038479275173,185.5793936835395,1.1720360887402053,0.0551812016141253
ki1/1,ki,1,low,180,180,571.2238418579102,277.9768074883355,2.0736876805687663,0.1896478879812848
ki1/29,ki,1,low,180,180,465.770007663303,222.01310696072048,2.086837259972213,0.3102074484624529
ki1/5,ki,1,low,180,180,354.1448289659288,211.63896408081055,1.6729818536906922,0.05032563237870142
ki2/15,ki,2,high,163,163,1015.8862847638277,593.7368469238281,1.711710928838115,0.1361307649816693
ki2/20,ki,2,high,160,160,1247.6846057891846,682.8698051452636,1.8405794842024072,0.14110644577919687
ki2/30,ki,2,high,220,220,1013.4486032659357,563.635179831765,1.7758330897788364,0.4400694926112668
ki2/36,ki,2,high,60,60,1712.0530008951823,852.1396128336588,2.0454758050613737,0.3791227788459107
ki2/3,ki,2,high,180,180,1256.7943352593315,573.1346289740668,2.206577374316173,0.14873583168177879
ko1/14,ko,1,low,180,178,245.77953090024798,196.08243792244556,1.2534039249505835,0.11489265474519811
ko1/18,ko,1,low,112,112,334.399724142892,230.76561314719063,1.452108212272351,0.08055095072647721
ko1/20,ko,1,low,127,126,325.7722855825273,227.17595369853672,1.4314390543566808,0.06820003187286018
ko1/2,ko,1,low,72,72,335.47736803690594,227.20694986979166,1.475863384906605,0.07914599550259441
ko1/7,ko,1,low,106,82,332.81167863054975,211.28576325207223,1.5601046634493394,0.22869992822254595
ko2/ko10,ko,2,high,234,234,1295.2828455215845,612.3273318038027,2.116858510934885,0.7736458906145014
ko2/ko15,ko,2,high,360,360,924.2889737447102,566.9324991861979,1.6330681856032616,0.5542624953460195
ko2/ko20,ko,2,high,293,293,2249.320771617694,722.2206367779104,3.3320348533630173,0.8619006137298482
ko2/ko28,ko,2,high,360,359,751.3789873468511,485.6153545751545,1.4650733569927374,0.7780537872786214
ko2/ko3,ko,2,high,360,360,680.2804593404134,531.2345997280545,1.2837593546003299,0.342995173081098
wt1/16,wt,1,low,180,180,384.4455008612739,232.5810792711046,1.657236697398351,0.07792134884911447
wt1/20,wt,1,low,180,180,379.1800043741862,208.008506181505,1.8197036241346154,0.10263300589092468
wt1/23,wt,1,low,145,120,298.4144079844157,216.77977142333984,1.371963581656097,0.12761247240201867
wt1/34,wt,1,low,180,178,269.61081944154887,198.1570380564486,1.3583061449574498,0.15760805495788632
wt1/7,wt,1,low,180,154,340.23502102145903,243.75389862060547,1.3998658480903645,0.07002920141180442
wt2/wt12,wt,2,high,70,70,1345.1569832938058,624.9336887904576,2.143689272058711,0.39129301797247834
wt2/wt15,wt,2,high,345,345,534.7706301481827,491.5988471432009,1.08876736495216,0.014604315982547546
wt2/wt21,wt,2,high,215,215,1817.1429165152617,781.2420160337936,2.3639698167697265,0.32116506929097305
wt2/wt25,wt,2,high,150,150,1095.112568359375,562.5407963053385,1.8975154348525811,0.6602921849957218
wt2/wt8,wt,2,high,330,329,627.0844688531475,539.2656591351633,1.1651146628706601,0.09257238607606726
