condition,n_cells,mean_iou,std_iou,mean_dice,mean_boundary_iou,mean_centroid_dist,mean_hd95,mean_area_ratio
wt,5,0.2561913461429759,0.16382668248236265,0.37001222830030206,0.005160808053765653,53.47611448521728,66.66864530900894,0.6405316145527208
ko,4,0.49442809136451327,0.32932224756968875,0.5757801371440606,0.012005914779517322,45.78380858042037,53.09032418523153,0.7749012119229288
ki,5,0.2587930564737513,0.16765075634371104,0.3682592597804157,0.006174065079717103,49.32133460413037,59.09666515215955,0.6601681321252595
