batch,condition,n_cells,mean_speed_um_per_min,std_speed,mean_lam_cyto_ratio,std_lam_cyto_ratio
1,wt,10,1.0307754204266222,0.32740127673325414,1.5304292767828278,0.2893432534020624
1,ko,10,1.058660908407488,0.2924633871209059,1.472769660365941,0.44889796445939406
1,ki,10,0.6787931707229188,0.08050769417446511,1.8270031688278916,0.3319416424281858
2,wt,10,0.9512018011864241,0.23820699867640013,1.6027696471826567,0.36621306488962835
2,ko,10,1.1908239718797387,0.4326400154779423,1.6412729952854463,0.5565428326859211
2,ki,10,0.7155682234778469,0.1002249864410273,1.8296958121361435,0.2662619676459043
